precinct,ward,long,lat,total_units,occupied,vacant,total_pop,total_hisp,total_nonhisp,white_alone,black_alone,aian_alone,nhpi_alone,asian_alone,other_alone,two_or_more,Green,King,Buckner,Wilson,Johnson,Vallas,Lightfoot,Sawyer,Garcia
1,45,-87.780198080073,42.008410594237056,1328,1272,56,3375,353,3022,2648,44,1,0,192,12,125,4,8,9,76,72,686,46,4,63
1,46,-87.64422001749074,41.94821330736064,3863,3621,242,4923,480,4443,3524,226,7,0,495,22,169,7,8,20,18,120,276,87,4,61
1,47,-87.68382889103647,41.969399036490195,1998,1857,141,3908,609,3299,2772,82,2,0,236,26,181,9,2,18,10,186,156,46,7,71
1,48,-87.66241073888268,41.98857864834523,2029,1896,133,3685,676,3009,2197,304,3,1,299,26,179,9,5,41,10,299,130,94,4,75
1,49,-87.67105707535546,42.021364369326044,2698,2442,256,4969,745,4224,1498,2181,18,1,156,67,303,19,16,9,68,158,114,117,3,56
1,50,-87.70430453782845,42.013769930471526,969,927,42,2867,236,2631,2130,107,3,0,308,37,46,3,2,0,19,48,394,34,3,32
2,1,-87.69800546001068,41.92839444124127,1962,1807,155,4055,1023,3032,2526,97,7,0,207,24,171,8,6,11,8,296,139,64,0,81
2,2,-87.61662873497744,41.894327699950146,5358,4681,677,7274,580,6694,4481,442,8,4,1471,24,264,4,13,17,26,68,473,83,8,51
2,3,-87.61495399697438,41.82094655929543,1529,1400,129,2922,77,2845,76,2645,7,0,11,18,88,30,16,6,120,105,48,203,3,28
2,4,-87.60049480424026,41.80414325095239,2676,2390,286,4871,226,4645,1382,2712,7,0,292,42,210,9,23,2,27,91,33,67,3,18
2,5,-87.56522327165372,41.769399057779836,3452,2958,494,4810,121,4689,181,4273,5,5,21,26,178,12,14,0,85,103,52,237,2,21
2,6,-87.63158255640298,41.775038912394926,1196,1049,147,1990,52,1938,13,1869,5,0,3,12,36,8,2,5,87,21,19,82,0,11
2,7,-87.57240881476794,41.760886929182554,2748,2393,355,5428,97,5331,51,5136,4,1,10,30,99,17,18,16,102,118,45,245,3,12
2,8,-87.60096753676264,41.754999610317014,2108,1738,370,3833,92,3741,20,3631,4,1,2,16,67,10,4,0,53,43,27,89,7,5
2,9,-87.63090359914673,41.7261089418582,1278,1153,125,3043,70,2973,6,2902,6,0,0,4,55,18,2,2,79,41,25,134,1,12
2,10,-87.5460559159684,41.741725452645376,1334,1085,249,2776,951,1825,74,1708,18,0,3,0,22,6,3,4,21,15,31,36,3,50
2,11,-87.64054715385105,41.849979947813715,561,547,14,1493,63,1430,105,121,0,0,1188,0,16,4,1,2,13,13,68,13,0,11
2,12,-87.69849665758626,41.83016572331251,983,926,57,3145,2007,1138,172,65,2,0,882,4,13,5,1,0,14,25,63,5,1,111
2,13,-87.73168682895773,41.79130948689854,975,910,65,3117,2562,555,457,26,10,0,42,8,12,2,1,0,36,29,94,8,0,107
2,14,-87.73078927115183,41.81530297629733,841,796,45,2834,2257,577,354,23,1,1,185,1,12,1,0,0,17,25,88,8,0,138
2,15,-87.6431979806272,41.81186326850762,896,798,98,2073,550,1523,1233,84,4,0,157,11,34,2,2,0,55,22,315,10,1,37
2,16,-87.6671093079314,41.79746585359589,1212,1031,181,3363,2012,1351,60,1235,1,2,5,11,37,11,3,1,46,21,19,58,0,28
2,17,-87.69060460721195,41.76548460637616,1178,1044,134,3081,1126,1955,106,1768,3,0,12,15,51,6,3,0,53,24,28,61,0,14
2,18,-87.6658649815251,41.74067053400418,2306,2106,200,5048,144,4904,22,4772,4,0,6,11,89,20,8,4,115,97,52,236,6,18
2,19,-87.6783008071837,41.717383084873504,881,851,30,2279,110,2169,1102,952,3,0,14,13,85,16,8,17,53,114,284,146,3,52
2,20,-87.65337468679282,41.80689898753662,1078,950,128,3354,2618,736,195,352,0,0,158,4,27,1,2,0,4,9,21,9,0,53
2,21,-87.66526134632804,41.68242785677226,601,542,59,1507,70,1437,13,1369,8,0,2,0,45,12,4,1,37,20,15,68,1,7
2,22,-87.719056383957,41.85059508910035,1385,1238,147,4038,2653,1385,117,1188,11,0,11,9,49,2,0,0,8,25,9,26,0,29
2,23,-87.79509658474898,41.794203662603216,885,857,28,2358,977,1381,1312,10,2,0,14,8,35,1,1,0,32,18,360,18,0,76
2,24,-87.73473046924855,41.8708937535746,603,534,69,1445,108,1337,7,1298,1,0,4,3,24,7,1,0,47,30,13,67,1,5
2,25,-87.70062886015377,41.838982376957574,2058,1861,197,10766,6483,4283,594,3564,22,0,46,12,45,1,1,3,7,24,16,6,0,148
2,26,-87.71392980579589,41.90570990846561,1598,1443,155,4019,2778,1241,647,420,3,0,63,15,93,2,2,3,14,67,31,20,0,69
2,27,-87.66088687254563,41.88004566132233,3580,3427,153,6548,449,6099,4063,755,5,3,1033,23,217,9,10,15,35,72,204,68,2,35
2,28,-87.74787182963256,41.884143752741494,1630,1450,180,3987,222,3765,20,3688,3,0,0,6,48,10,0,0,50,23,11,97,0,4
2,29,-87.8037279176523,41.93476127310228,1726,1625,101,4651,2260,2391,1940,153,5,0,185,26,82,1,5,0,39,38,180,28,1,78
2,30,-87.77320681350136,41.936790910024094,1314,1230,84,4007,2650,1357,1000,109,0,0,202,3,43,5,1,4,51,29,115,21,1,96
2,31,-87.72400954699043,41.937010162801144,1972,1787,185,4355,2398,1957,1553,147,10,2,119,21,105,5,3,16,32,155,82,27,0,77
2,32,-87.6837739263259,41.94145907107825,2099,1951,148,4454,597,3857,3300,68,2,0,277,17,193,9,14,21,9,150,268,75,5,65
2,33,-87.7032935766306,41.959398005387094,2659,2518,141,5886,2557,3329,2496,225,8,1,340,52,207,16,8,25,25,278,204,71,1,144
2,34,-87.6605856217688,41.87303145774406,1568,1431,137,3121,291,2830,1515,162,1,0,1013,15,124,2,3,4,10,50,153,33,1,31
2,35,-87.7304482683626,41.92125238980919,2330,2166,164,7213,6366,847,499,189,12,0,55,24,68,7,4,3,24,73,100,26,0,172
2,36,-87.78891188090881,41.937178568251994,1660,1573,87,4650,2429,2221,1762,129,9,1,238,13,69,4,2,6,39,39,153,19,2,76
2,37,-87.73658905817982,41.90492162374217,2182,1972,210,5958,3943,2015,200,1725,5,0,27,16,42,11,1,3,47,37,39,71,1,44
2,38,-87.84481389977053,41.95767736341481,1062,1023,39,2704,644,2060,1885,51,5,0,63,5,51,1,0,1,39,16,275,18,0,28
2,39,-87.72364406963347,41.986536377359535,1039,986,53,1524,151,1373,704,44,2,0,587,2,34,0,4,4,31,29,141,32,0,76
2,40,-87.6844473597975,42.003569301408326,3152,3002,150,7896,1725,6171,2085,1912,23,0,1856,45,250,25,8,9,44,99,137,76,0,82
2,41,-87.84410216194553,41.982070562196405,3018,2841,177,5986,620,5366,3513,201,6,3,1483,27,133,3,4,1,27,11,133,20,2,19
2,42,-87.619939135464,41.88037360808535,9264,8082,1182,13717,1005,12712,8440,643,17,0,2944,80,588,3,4,9,7,24,103,29,0,21
2,43,-87.62683185392427,41.90817637056907,4047,3476,571,5473,291,5182,4618,135,0,0,272,11,146,6,11,13,17,75,463,73,1,59
2,44,-87.66169380385806,41.94182842642786,1959,1863,96,4168,309,3859,3396,59,1,1,193,18,191,5,5,13,5,103,290,28,0,41
2,45,-87.77375769682305,42.00662055799966,691,671,20,2018,176,1842,1642,12,0,0,79,7,102,4,0,7,19,35,328,33,1,40
2,46,-87.64471827977962,41.94646223904611,4451,4106,345,5878,635,5243,4188,242,4,0,530,43,236,10,12,30,6,162,206,84,0,56
2,47,-87.67759903185193,41.96915397132886,2199,2115,84,3829,616,3213,2703,107,6,0,201,15,181,4,7,24,9,208,117,49,1,64
2,48,-87.65514378561947,41.99651822346418,1466,1293,173,2870,312,2558,1510,304,2,0,613,39,90,2,4,5,12,58,85,54,0,50
2,49,-87.66567602909845,42.019386649570805,2519,2250,269,4453,702,3751,2171,1108,17,1,200,34,220,13,8,17,27,127,98,80,0,62
2,50,-87.70416568435246,42.017416238237125,823,769,54,2837,407,2430,1548,284,3,0,502,22,71,2,6,1,24,54,286,45,1,45
3,1,-87.69206448770296,41.92766380489337,1760,1661,99,3718,1064,2654,2123,158,3,2,184,22,162,20,6,18,12,242,199,54,2,82
3,2,-87.61899679564354,41.893025249744184,10755,9130,1625,14245,1000,13245,8906,701,9,4,3056,74,495,3,7,17,10,42,186,42,2,44
3,3,-87.62831481384124,41.85231942363506,1232,1173,59,2412,194,2218,556,969,14,1,557,16,105,14,9,16,48,69,90,85,2,29
3,4,-87.59243858121651,41.804192599907154,3362,3070,292,5760,342,5418,1915,2650,2,1,499,25,326,8,52,14,30,140,61,101,4,39
3,5,-87.57049012938178,41.769614228216724,3565,3113,452,5630,119,5511,130,5120,11,3,18,24,205,20,12,4,91,113,51,189,1,24
3,6,-87.64061704641932,41.770626841784086,736,560,176,1497,70,1427,15,1379,3,0,0,4,26,3,2,0,19,7,7,24,1,1
3,7,-87.56377812215636,41.760252553875766,3549,3020,529,6809,179,6630,95,6320,5,0,17,14,179,19,6,2,100,60,26,103,1,12
3,8,-87.59373306140284,41.75327037402649,781,739,42,1399,25,1374,6,1319,1,0,0,5,43,9,0,1,59,25,14,104,3,7
3,9,-87.62622182413851,41.72561822177174,814,727,87,1957,60,1897,17,1840,2,0,4,4,30,11,5,3,38,21,12,66,1,10
3,10,-87.55172231434382,41.73372188683586,2553,2045,508,4889,1956,2933,115,2719,7,0,7,9,76,12,4,3,28,23,55,39,1,75
3,11,-87.64320269457544,41.844710428099276,2757,2579,178,6845,755,6090,1320,102,2,0,4561,8,97,14,4,11,41,83,452,26,4,69
3,12,-87.68044334605922,41.82850145544652,1210,1128,82,2948,1628,1320,556,53,3,0,647,10,51,6,0,1,19,99,118,24,0,124
3,13,-87.79244279387271,41.7861487047679,870,842,28,2183,821,1362,1295,12,3,1,15,11,25,1,2,5,42,19,341,16,0,68
3,14,-87.70843193485283,41.791622231635856,1027,996,31,4045,3815,230,143,40,0,0,22,13,12,4,2,0,13,16,45,6,1,114
3,15,-87.64306498301599,41.80694263916625,434,371,63,1099,435,664,429,105,0,0,110,3,17,1,0,0,18,11,95,8,0,21
3,16,-87.67508494958858,41.781115828670764,917,788,129,2432,541,1891,13,1838,0,0,0,3,37,16,2,1,43,35,13,88,0,10
3,17,-87.68262541769572,41.765605333216776,1460,1224,236,3700,981,2719,58,2565,4,0,7,15,70,9,6,1,74,21,12,98,1,15
3,18,-87.68017857616148,41.73919823829886,844,805,39,1942,87,1855,127,1691,0,0,0,13,24,12,1,2,40,46,21,102,1,18
3,19,-87.71580848077681,41.70047202573739,1469,1430,39,3616,391,3225,3046,98,1,0,15,12,53,1,0,1,38,8,548,8,1,22
3,20,-87.65882087600966,41.80319643877026,1636,1457,179,4967,3634,1333,156,1067,0,1,28,17,64,3,1,2,23,18,14,32,1,34
3,21,-87.65746391570067,41.68103144822863,891,846,45,2269,46,2223,9,2149,1,0,3,10,51,17,6,2,122,84,61,217,4,13
3,22,-87.73063967049727,41.845784955323474,1091,986,105,3352,3163,189,58,94,6,0,7,5,19,4,1,0,10,22,28,8,0,204
3,23,-87.79225942392914,41.79803162601856,595,568,27,1460,533,927,882,13,0,0,5,10,17,2,0,1,19,11,227,14,2,42
3,24,-87.73252063110671,41.86547065974458,1541,1347,194,3602,226,3376,28,3279,2,0,5,9,53,19,1,0,75,63,20,145,1,10
3,25,-87.69384646117253,41.8543185183313,1930,1644,286,4149,3113,1036,404,507,11,0,55,13,46,1,0,3,11,79,31,22,1,136
3,26,-87.7094384382594,41.917371037058125,2069,1950,119,4320,1880,2440,1845,268,11,0,163,16,137,9,1,9,12,181,41,26,0,57
3,27,-87.7154075045574,41.89612004835046,1983,1749,234,4925,1887,3038,152,2788,9,0,10,13,66,8,2,0,79,42,15,105,0,14
3,28,-87.74325522927928,41.89138596491717,268,223,45,745,316,429,14,401,0,0,0,2,12,2,0,0,10,6,2,36,0,3
3,29,-87.80362203298199,41.92606777681882,1880,1757,123,4578,2672,1906,1405,301,6,0,106,28,60,7,3,1,35,30,112,36,2,91
3,30,-87.72175895452274,41.94991382322183,1107,1033,74,2410,727,1683,1276,86,2,0,205,11,103,5,1,8,11,132,119,35,2,69
3,31,-87.76330431776776,41.93496387671991,1450,1382,68,4049,2869,1180,907,123,7,1,81,25,36,5,1,4,24,16,96,12,0,85
3,32,-87.67667465753681,41.94123348164212,1951,1828,123,4238,478,3760,3326,47,6,0,182,19,180,7,8,12,6,105,218,42,3,54
3,33,-87.70425738750596,41.9519578353359,2673,2491,182,6233,2894,3339,2338,261,9,4,537,20,170,8,5,9,35,153,189,58,5,124
3,34,-87.65401331372685,41.87621013574107,4760,4228,532,9417,860,8557,4902,980,9,8,2173,135,350,9,3,34,11,100,243,63,0,32
3,35,-87.72419941623122,41.9220249734129,1340,1215,125,3467,2607,860,637,97,2,0,63,10,51,9,0,3,12,90,51,13,2,91
3,36,-87.79692776383484,41.93280148792184,1043,979,64,3263,2076,1187,885,101,1,1,137,19,43,4,2,0,23,16,122,13,1,86
3,37,-87.75302590366714,41.89139682661569,1514,1330,184,3904,657,3247,26,3119,0,0,7,9,86,9,4,0,82,37,22,149,0,14
3,38,-87.82720924887037,41.94905751141356,1348,1302,46,3538,944,2594,2385,43,0,1,96,4,65,3,2,1,66,26,363,22,0,45
3,39,-87.73600017330153,41.95859499955983,1214,1145,69,2687,670,2017,1404,110,6,0,357,19,121,7,4,9,22,88,146,38,2,44
3,40,-87.67629001667478,41.99816858389177,3987,3714,273,9579,2238,7341,2705,1880,22,0,2410,54,270,14,4,12,29,117,135,61,0,93
3,41,-87.83916352804893,41.98085823105787,4334,4050,284,8601,898,7703,5391,281,5,3,1769,41,213,4,3,1,32,14,145,13,1,27
3,42,-87.61907811631654,41.88608267794318,4325,3719,606,6263,471,5792,3771,260,9,0,1441,34,277,4,14,18,11,73,370,113,1,37
3,43,-87.62904025856021,41.91436785632481,4642,4001,641,6252,313,5939,5250,162,0,0,307,31,189,1,3,2,0,22,207,41,0,19
3,44,-87.63625113940037,41.938935509866404,4401,3965,436,5752,436,5316,4346,182,5,1,550,21,211,4,12,11,14,99,418,105,5,64
3,45,-87.76466849483528,42.006344876972314,582,565,17,1493,137,1356,994,11,0,0,285,0,66,2,1,2,15,20,219,15,0,15
3,46,-87.64801716674847,41.948348113508985,6880,6289,591,9640,1147,8493,6246,1037,8,3,737,55,407,15,4,25,24,198,121,81,3,92
3,47,-87.67446320443108,41.971086930601174,1849,1757,92,3061,388,2673,2273,79,4,0,174,16,127,5,6,23,11,223,98,40,0,53
3,48,-87.65766532219764,41.984580535238464,5603,5163,440,8100,1064,7036,4130,1324,11,1,1212,56,302,6,2,3,20,111,97,64,3,41
3,49,-87.66513803965384,42.014876194052,3072,2884,188,5610,979,4631,2487,1544,5,2,326,53,214,14,8,7,47,209,173,120,2,85
3,50,-87.69755999884886,42.016054865971824,1152,1065,87,3954,602,3352,1875,474,11,1,830,47,114,2,3,2,16,49,226,45,2,36
4,1,-87.69981313246808,41.922665690346086,2878,2476,402,5237,1668,3569,2958,164,3,2,248,22,172,12,1,21,10,246,84,23,1,92
4,2,-87.62148612134371,41.89298670832641,5584,4879,705,7512,597,6915,4477,308,4,4,1813,34,275,3,5,13,11,39,217,63,0,36
4,3,-87.61262828018758,41.81261347014303,1884,1613,271,3805,152,3653,96,3411,5,0,3,21,117,17,15,14,38,117,43,112,6,13
4,4,-87.6093806254598,41.806632620438656,2119,1895,224,3563,139,3424,108,3154,4,0,5,18,135,22,31,9,97,139,48,162,8,26
4,5,-87.57426916571684,41.76987106355875,2814,2462,352,4984,101,4883,113,4611,5,2,4,16,132,24,10,7,89,82,41,159,7,20
4,6,-87.63744445871532,41.768373227510956,1685,1284,401,3736,181,3555,53,3396,7,1,5,12,81,10,2,3,39,21,12,64,6,4
4,7,-87.56164458939617,41.76299511663632,3633,3203,430,5605,180,5425,188,5033,8,0,25,7,164,8,6,5,66,65,34,153,3,15
4,8,-87.58305997414799,41.7564373718703,2132,1839,293,3854,59,3795,35,3643,4,1,1,8,103,16,9,3,103,72,35,202,4,15
4,9,-87.63635581391524,41.718159005788586,589,552,37,1494,30,1464,3,1421,2,0,0,2,36,13,2,4,74,60,33,140,1,11
4,10,-87.54015518072099,41.73428737984758,2003,1687,316,3998,1212,2786,110,2583,17,0,12,6,58,13,4,1,72,25,35,83,0,68
4,11,-87.6567749539962,41.84472730834758,1575,1402,173,3764,958,2806,796,109,1,1,1820,14,65,6,2,8,24,56,195,24,0,69
